YearObserved,Latitude,Longitude,Pres_Abs,Time_s
2022,38.087854,-97.876269,1,Current
2022,37.820578,-99.920647,1,Current
2022,38.910699,-94.92081,1,Current
2022,39.009904,-94.81886,1,Current
2022,38.066771,-97.920403,1,Current
2022,38.948035,-95.263998,1,Current
2022,38.897675,-94.759597,1,Current
2022,38.916573,-95.227854,1,Current
2022,39.183456,-97.217574,1,Current
2022,38.448528,-97.673697,1,Current
2022,39.022463,-95.703086,1,Current
2022,39.667991,-95.512535,1,Current
2020,38.897613,-94.859779,1,Current
2022,39.015999,-94.806933,1,Current
2021,39.315258,-94.911731,1,Current
2020,38.88082,-94.8995,1,Current
2021,38.890791,-94.846204,1,Current
2021,38.436813,-96.564217,1,Current
2021,39.326245,-94.934942,1,Current
2021,38.437055,-96.570625,1,Current
2021,39.326402,-94.93492,1,Current
2021,39.053511,-95.729106,1,Current
2021,39.323235,-94.955165,1,Current
2021,37.8689,-98.534737,1,Current
2021,39.322522,-94.937643,1,Current
2021,39.094778,-97.320404,1,Current
2021,37.699395,-97.458301,1,Current
2021,38.6558,-94.924156,1,Current
2021,38.962297,-95.236252,1,Current
2021,38.948021,-95.264066,1,Current
2021,39.279207,-94.903237,1,Current
2021,38.979058,-94.864167,1,Current
2021,38.95084,-95.234773,1,Current
2021,38.947955,-95.269105,1,Current
2021,39.04584,-98.143562,1,Current
2021,38.973359,-94.73122,1,Current
2020,38.88082,-94.8995,1,Current
2021,37.689904,-97.378183,1,Current
2021,37.990236,-98.014033,1,Current
2021,39.159665,-94.832442,1,Current
2021,38.087694,-97.877536,1,Current
2021,37.743667,-97.270433,1,Current
2021,37.022552,-96.1847,1,Current
2021,38.435212,-96.5633,1,Current
2021,38.463562,-96.570153,1,Current
2021,38.459267,-96.562867,1,Current
2021,38.864648,-95.268048,1,Current
2020,38.87779,-94.892357,1,Current
2021,38.886946,-95.478966,1,Current
2020,38.880025,-94.8995,1,Current
2021,38.876758,-94.907551,1,Current
2021,38.894072,-94.837227,1,Current
2021,38.880494,-94.897522,1,Current
2020,38.876558,-94.891817,1,Current
2021,38.451305,-96.514309,1,Current
2021,39.22738,-96.532332,1,Current
2021,39.22738,-96.532332,1,Current
2021,38.9155,-95.230492,1,Current
2021,38.932095,-95.215242,1,Current
2021,39.025729,-94.750442,1,Current
2021,39.248517,-95.0776,1,Current
2020,39.067306,-94.824723,1,Current
2021,39.207834,-96.958507,1,Current
2021,38.940353,-94.893892,1,Current
2021,39.942657,-95.641482,1,Current
2020,38.947116,-95.264118,1,Current
2020,38.971721,-95.245515,1,Current
2020,39.025785,-94.750502,1,Current
2020,39.092224,-97.320604,1,Current
2020,39.102831,-96.563249,1,Current
2020,37.351535,-94.803563,1,Current
2020,39.003581,-95.317068,1,Current
2020,38.91545,-95.23762,1,Current
2020,37.283247,-97.161132,1,Current
2020,38.963192,-95.256758,1,Current
2020,38.878221,-94.806084,1,Current
2020,37.743272,-97.271067,1,Current
2020,38.060845,-97.929774,1,Current
2020,38.971717,-95.245454,1,Current
2020,38.541905,-97.674112,1,Current
2020,39.092224,-97.320604,1,Current
2020,37.703182,-97.263615,1,Current
2020,37.751295,-97.424392,1,Current
2020,37.743237,-97.26678,1,Current
2020,37.724861,-97.513108,1,Current
2020,38.948048,-95.264086,1,Current
2020,38.944078,-95.267745,1,Current
2020,37.28706,-97.159613,1,Current
2020,38.67617,-97.9961,1,Current
2020,38.88597,-95.477156,1,Current
